narrator,movie opens with a 4 year-old Peter Parker playing hide and seek and looking for his father
Dr. Curt Connors,You gotta be kidding me?
Rajit Ratha,"I don't think I am. [Connors turns to leave, but Ratha stops him by holding his amputated arm] It's a little late for shock and indignation, Curt. About fifteen years late."
Dr. Curt Connors,I've no idea what you're talking about?
Rajit Ratha,"Richard Parker wore it well. On you, it's a cheap suit, as it was then."
Dr. Curt Connors,I have nothing to do with that.
Rajit Ratha,"Is that what you told his son, Peter?"
Dr. Curt Connors,I don't know what you're saying.
Rajit Ratha,"You don't know, or you don't wanna know? [after Connors has refused to do human trials on the new cross-species genetics formula] [turning to the mouse] Right, Freddie? [Ratha walks out of the Connors office] [Gwen catches Peter in the school hallway]"
Peter Parker,How's it going?
Gwen Stacy,Where are you headed?
Peter Parker,"Uh...Monday, B-track."
Gwen Stacy,It's Thursday.
Peter Parker,It's Thursday?
Gwen Stacy,What happened to your eye?
Peter Parker,Where?
Gwen Stacy,"You're eye, it looks bruised."
Peter Parker,"Oh! Yeah, yeah! I don't know. Maybe I got a rash."
Gwen Stacy,It's pretty bad. Have you gone to the nurse?
Peter Parker,Mmhmm.
Gwen Stacy,Do you like branzino? [Peter looks at her blankly] Like the fish?
Peter Parker,"Mmhmm. No, I know. I know. I know."
Gwen Stacy,"Well, if you want, you can come to this address at uh...at eight o'clock tonight. [she writes the address on a piece of paper and gives it to Peter] My mom's making Branzino, so. [Peter looks at the address] Oh, it's apartment twenty sixteen. I didn't...I didn't write that part down. I don't why I didn't. [she turns and laughs]"
Peter Parker,I'll remember it.
Gwen Stacy,"Twenty sixteen. [Gwen walks off to her class] [that evening, Peter shows up outside Gwen's bedroom window and knocks on the window] Hi! How did you get out there?"
Peter Parker,The fire escape. Your doorman's intimidating.
Gwen Stacy,That's twenty stories!
Peter Parker,"Yeah, it's alright. [Peter enters Gwen's room] This is your room?"
Gwen Stacy,"Yes, this is my room."
Peter Parker,"[Peter looks around] Books. Pictures. [Gwen laughs] Oh, hey, uh...I got your mom these. [he takes out a bunch of broken looking flowers from his backpack]"
Gwen Stacy,"Oh, lovely!"
Peter Parker,"Yeah, they're beautiful, right?"
Gwen Stacy,They're beautiful.
Peter Parker,They were...they were nice.
Gwen Stacy,"No, they're beautiful."
Peter Parker,I'm sorry.
Gwen Stacy,"No, it's impressive. They're actually held together very well."
Peter Parker,I'm gonna keep these. [Gwen smiles] [referring to Peter's backpack]
Gwen Stacy,"Do you have your suit in there? [Peter pauses, thinking she means his Spider-Man suit]"
Peter Parker,My suit? 
Gwen Stacy,"For dinner? Are you gonna...are you gonna wear that? That's um...that's [at that moment Gwen's dad, Captain Stacey, walks into her room] You must be Peter."
Gwen Stacy,"Dad, this is Peter."
Peter Parker,"Hi, nice to meet you, sir. [Peter goes to shake Captain Stacey's hand][after his argument with Ratha, Connors injects the serum into the stump of his arm, he falls asleep at his desk, and when he wakes his arm has regenerated, he tries to call Ratha]"
Dr. Curt Connors,"Emma, it's Curt. Is he there?"
Emma,"I'm afraid not, doctor. The car's taking him to the veterans hospital in Brooklyn."
Dr. Curt Connors,"No, no, no! He can't, Emma. You...you have to stop him. He...he..."
Emma,"I would, but I always lose him when he's on the bridge. I'll make sure Dr. Ratha returns your call as soon as possible. [as Connors hangs up the phone he starts to feel strange and falls, he takes a cab to catch up with Ratha, in the cab his skin starts to scale, he yells at the cab drive to drive] [at the dinner table, Peter pokes at his fish with his knife not knowing how to eat it]"
Helen Stacy,"You're having trouble there, aren't you? The head goes on the... Simon, help Gwen's friend with the fish. [as Simon starts to help him]"
Peter Parker,"Oh, uh...I got no idea"
Simon Stacy,First time. [Gwen whispers to Peter from across the table]
Gwen Stacy,Branzino.
Helen Stacy,"George, why don't you tell us about your day?"
Howard Stacy,"Oh, yeah, dad. Did you catch that spider guy yet?"
Captain Stacy,"No, we didn't catch, but we will. He's an amateur, who's assaulting civilians in the dead of night, he's clumsy, he leaves clues, bit still dangerous."
Peter Parker,"He's as...he's assaulting people? I'm not sure. I mean, I saw that video, of him and the car thief and I think most people would say that he was providing a public service."
Captain Stacy,"Most people would be wrong. If I wanted a car thief off the street, he's already be off the street."
Peter Parker,So why wasn't he then? [Gwen laughs awkwardly]
Captain Stacy,"Let me illuminate you. You see, the car thief was leading us to the people who run the entire operation. It's been a six month long sting, it's called strategy. I'm sure you're aware of the term, strategy? You've probably heard about that in school?"
Peter Parker,Yeah.
Captain Stacy,Good.
Peter Parker,"Well, obviously he didn't know you had a plan."
Captain Stacy,"You seem to know an awful lot about this case. You know something that we don't know? I mean, who's side are you on here?"
Peter Parker,"Well, I'm not on anyone's side. I saw a video on the internet..."
Captain Stacy,"Oh! You saw the video on the internet. Well, then the case is closed."
Peter Parker,"Well, no. I'm just sayin', if you watch the video, maybe send you a link? It looks like...it looks like he's really trying to help."
Captain Stacy,"Yeah, sure, on the internet he's been made out to look like some kind of masked hero or something."
Peter Parker,"No. No. I'm not saying he's a hero, I don't think he's a hero at all."
Captain Stacy,What are you trying to say?
Peter Parker,"I'm saying, he's trying to help. But it looks like he's trying to do something that maybe the police can't."
Captain Stacy,Something the police can't?
Peter Parker,I don't know.
Captain Stacy,What do you think we do all day? Think we just sit around eating donuts with our thumbs planted firmly up our asses?
Helen Stacy,George!
Gwen Stacy,Daddy.
Helen Stacy,George.
Peter Parker,I'm sorry.
Captain Stacy,Is that what you think we do down there?
Howard Stacy,"Up your what, dad?"
Helen Stacy,Howard!
Peter Parker,"I think he stands for what you stand for, sir. Protecting innocent people from bad guys."
Captain Stacy,"I stand for law and order, son. That's what I stand for, okay? I wear a badge. This guy wears a mask, like uh...you know, like uh...like an outlaw! He's hunting down a bunch of criminals that all look the same, like he's got some sort of personal vendetta. But he's not protecting innocent people. Mr. Parker."
Gwen Stacy,"Let's get some air, Peter. [she stands and turns to leave] Dad, we need to talk."
Captain Stacy,"Yes, we do."
Peter Parker,"Thank you for having me. I'm sorry if I insulted you, that was not my intention."
Captain Stacy,You're welcome. [Peter gets up]
Peter Parker,"Branzino was real good, Mrs. Stacy. Thank you."
Helen Stacy,"You're welcome. [Peter and Gwen leave the room] [after the awkward family dinner, Gwen takes Peter to the roof]"
Gwen Stacy,"Well, that was something."
Peter Parker,[referring to her dad] I'm sorry. I thought he was gonna arrest me at one point.
Gwen Stacy,"Nah, I wouldn't have let him arrest you. What happened to your face?"
Peter Parker,I wanna tell you something.
Gwen Stacy,Oh! Okay.
Peter Parker,I've been bitten.
Gwen Stacy,"So have I. [Gwen gets closer to Peter, but Peter backs off]"
Peter Parker,"Okay. Okay. Okay. Okay. I gotta tell you this one thing. I gotta tell you this one thing. It's about the vigilante and the car thief, alright? [Gwen looks disappointed]"
Gwen Stacy,Oh! Okay. [Gwen thinks that he wants to talk about her dad]
Peter Parker,"No! No! I don't wanna talk about your dad, I wanna talk about me. Okay?"
Gwen Stacy,What about you?
Peter Parker,I...I wish I could just...I can't! It's hard to say.
Gwen Stacy,Just say.
Peter Parker,No. No.
Gwen Stacy,"Say it. [Peter tries to find the right words to say to tell her the truth about himself] What? What? [he looks at her] What? [Peter shakes his head as he can't find the right words, Gwen frustrated, turns and starts to walk off but Peter stops her with his web-shooter and pulls her into his arms and as Gwen realizes who he is, Peter kisses her] [after Gwen realizes who Peter is, Peter hears police sirens and jumps off the balcony to catch up with the cop cars, Gwen sees this and says to herself] [after Peter finds The Lizard has caused havoc on the bridge, Peter tries to save a boy trapped in a car suspended from the bridge, as he frees the kid from his seatbelt the car lights on fire and Peter manages to hold onto the suspended car]"
Peter Parker,"Jack, climb, now!"
Jack,I can't!
Peter Parker,"Yes, you can! [Peter struggles to hold onto the car] Put...put it on! The mask! It's gonna make you strong. [Jack looks at Peter's mask which he'd taken off and given to him earlier] Jack, trust me. Put it on. [Jack puts on the mask] There you go! That's it! That's it, buddy! That's it. Okay, now, climb! Come on, Jack! [Jack starts to slowly climb towards Peter] Do me a favor, a little faster. Okay, bud? You're doing great, buddy. You're doing great! That's it, keep coming. Keep it coming. Keep coming. [as Jack gets closer to Peter, he reaches out his hand towards Peter, but the car suddenly drops] No! [Peter quickly catches the boy mid-fall with a web shot and pulls him to safety]"
Jack's Father,Who are you?
Peter Parker,"Spider-Man. [the day after the bridge incident, Stacy addresses the news reporters; Peter watches this on the TV as he eats breakfast]"
Captain Stacy,"At approximately 9 p.m. last night an incident took place on the Williamsburg Bridge. Much of what occurred is really speculation at this point. However, several eye witnesses to the crime as well as our own prepreliminary finding, have positively placed one individual at the scene, which is why this morning I'm issuing an arrest warrant for the masked vigilante, known as Spider-Man."
Captain Stacy,"At approximately 9 p.m. last night an incident took place on the Williamsburg Bridge. Much of what occurred is really speculation at this point. However, several eye witnesses to the crime as well as our own prepreliminary finding, have positively placed one individual at the scene, which is why this morning I'm issuing an arrest warrant for the masked vigilante, known as Spider-Man. [at school, Peter shows Gwen the spider that bit him]"
Gwen Stacy,It's so beautiful.
Peter Parker,But it's got a bite though!
Gwen Stacy,Who else knows about this?
Peter Parker,Just...
Gwen Stacy,Me? [Peter nods his head]
Peter Parker,"You don't...you don't believe what the police are saying, do you?"
Gwen Stacy,"Of course not. Does it scare you, what you can do?"
Peter Parker,No. No.
Gwen Stacy,What did that thing on the bridge look like?
Peter Parker,Real big. Too big to be human.
Gwen Stacy,You gotta lay low.
Peter Parker,"No, can't do that."
Gwen Stacy,"But you've got to. I mean, why?"
Peter Parker,"Cause of last night. Those people on the bridge, whatever is attacking them, when it killed them. So I gotta...I gotta go after it."
Gwen Stacy,But that's not your job.
Peter Parker,Maybe it is. I really liked kissing you. You're an amazing kisser. [Gwen laughs shyly]
Gwen Stacy,"Well, you know, it was...it was good for me too."
Peter Parker,Yeah?
Gwen Stacy,"Mmhmm. [as Peter leans in to kiss Gwen, he quickly catches the football that's headed towards them and throws it back into the field hitting the football post and everyone on the field watches in amazement] [Peter goes to Connors lab and finds the place looking empty, he picks up the serum injection from Connors desk and as he's looking at it Connors enters the lab]"
Dr. Curt Connors,It's not nice to snoop. I gave everyone the week off.
Peter Parker,Yeah.
Dr. Curt Connors,Shouldn't you be at school?
Peter Parker,"No, I got a...I got a free track. I wanted...I wanted to ask you a question. How would a predator track a reptile?"
Dr. Curt Connors,"Oh, they don't. Most reptiles are at the top of their respective food chain, kings of their domain."
Peter Parker,"But they gotta have vulnerabilities, right?"
Dr. Curt Connors,Why the sudden interest in the cold blooded?
Peter Parker,"Just asking a question. I got...I got...I got school stuff, biology profiles to do. So, because of the cold blood, would they react to sudden changes in temperature?"
Dr. Curt Connors,You'd have to catch one first. Did you know there's a rumor of a new species in New York? Beautiful and quite large.
Peter Parker,What do you know about it? Have you seen it?
Dr. Curt Connors,"Well, it's not yet classified. But it can be aggressive, if threatened. [suddenly Connors neck begins to show signs of changing, he turns his face from Peter]"
Peter Parker,"Doc, are you alright?"
Dr. Curt Connors,"Never been better, Peter. Never been better. Now, if you'll excuse me, I'm afraid I'm gonna have to ask you to leave. I have a new project I'm working on and I need to be alone. [he opens to door to his lab, Peter nods his head and walks out, Connors walks out with him] Don't worry, Mr. Parker. I'll be back. [he starts to walk off but before he leave he turns to face Peter] Wonderful things are coming. Wonderful things. [Peter looks at Connor suspiciously as he leaves, then Peter turns and sees the test mouse they had injected with the serum has morphed into a lizard mouse and is eating the normal mouse in the next cage] Fred! [Parker goes to Stacy's office]"
Captain Stacy,"Mr. Parker, why are you not in school?"
Peter Parker,Got a free track.
Captain Stacy,"Okay. Well I do not have a free track, so make your point quickly."
Peter Parker,"Okay, fine. There may not be a dinosaur running around Manhattan, but there is something more dangerous, and I know who it is."
Captain Stacy,You know who it is?
Peter Parker,"Dr. Curtis Connors, he's a biochemist..."
Captain Stacy,Of OsCorp?
Peter Parker,That's right.
Captain Stacy,Okay. Dr. Curtis Connors who's also my daughters mentor. Is that who you're talking about?
Peter Parker,That's the one.
Captain Stacy,"You know, recently Dr. Connors gave Gwen a glowing college recommendation. It was beautiful, when I read it I cried. But you would have me believe that in his spare time he's running around dressed up like a giant dinosaur."
Peter Parker,Not dressing up and not a dinosaur. He has transformed himself into a giant lizard. [Stacy looks at Peter like he's crazy]
Captain Stacy,Let me ask you a question. Do I look like the mayor of Tokyo to you?
Peter Parker,"I'm telling you the...I'm telling you the absolute truth. This man has worked for his whole life on cross-species genetics. He lost one arm and has been trying to grow it back, but there is something imbalanced by the equation and he has turned into a full lizard. He's using lizard DNA. He is dangerous! And he's planning something horrific. I know! I know!"
Captain Stacy,"Okay. Alright. I get it. Here's what we're gonna do. You're gonna go back to hanging out with the citizens of Tokyo, and I'm gonna go back to protecting the citizens of this fine and fair city of ours. Sergeant Butler, would you please escort Mr. Parker back to school. [Butler starts escorting Parker out]"
Peter Parker,"Captain Stacy, I'm not...I'm not messing around. Just bring him in, just call him in! You have to call him in! He is a danger to everybody! Just, please, listen to me! [Butler pushes Parker out and as Parker leaves Stacy turns to his colleague]"
Captain Stacy,"Jimmy, give me everything we have on Dr. Curtis Connors. Okay? Right away. [as Peter walks out of the police station, he notices little lizards crawling down into the sewer] [Connors has set up a mini-lab in the sewer and is recording himself on camera]"
Dr. Curt Connors,"Subject; Dr. Curtis Connors. Current temperature; eighty nine point seven, steady for forty eight hours. Blood panels reveal lymphocyte and monocyte readings consistent with subject's past. Clotting rate vastly improved, marked enhancement in...in muscle response, strength and elasticity. [as Connors is testing himself, Peter down the sewer, builds a giant web in the intersection of the tunnels; back at his sewer lab, Connors continues talking into the camera] Eye sight similarly improved. Subject no longer requires corrective lenses. This is no longer about curing ills. This is about finding perfection. In attempt to regress regenerative relapse, dosage has been increased to two hundred milligrams. [he injects himself with the serum and suddenly turns violent and knocks the camera out; we then see that Peter has set up a camera in the sewer tunnel and and lies in his web to wait for Connors] [in the sewer tunnel after Connors has transformed into a giant lizard, he finds Peter and grabs hold of him]"
The Lizard,You stopped me once. You won't stop me again! I'm getting stronger everyday! [suddenly they fall through the giant web and fight underwater with Peter escaping through a pipe that the lizard can't follow through]
Spider-Man,"Oh, that sucked! [as Peter's camera keeps taking pictures of the lizard, he notices the flash and grabs the camera, he sees that it has the label 'Property of Peter Parker']"
The Lizard,Peter Parker! [Peter goes to Gwen apartment and knocks on her bedroom window]
Gwen Stacy,"You should maybe uh...consider coming in through the lobby. [they both laugh] Also, my father is under the impression that you require psychiatric attention. [as Peter comes in through the window she notices that he's gashed across the chest from his fight with the lizard]"
Peter Parker,"Oh, really?"
Gwen Stacy,"Peter, what happened?"
Peter Parker,"You should see the other guy. The other guy, in this instance, being a giant mutant lizard. [as Peter is in Gwen's room, Gwen hears her dad calling to her]"
Captain Stacy,"Hey, Gwen. Honey, do you want uh...coco? Howard's making some coco. [she quickly goes to answer her father and Peter tries to hide]"
Captain Stacy,Okay. I just thought I remembered somebody saying last week that her fantasy was to live in a chocolate house.
Gwen Stacy,"Well, that's impractical. [she shuts her door, then opens it again] And fattening! [she shuts her door again and turns to face Peter, who smiles at her]"
Peter Parker,"Chocolate house? [she rolls her eyes at Peter then opens her door again, Stacy is still outside her door]"
Gwen Stacy,"Sorry, dad. [referring to the coco]"
Captain Stacy,It's good.
Gwen Stacy,"I just, I can't um...have coco right now, because I'm working...I'm doing this um...I have to...I have cramps."
Captain Stacy,Oh.
Gwen Stacy,"I feel kind of pukey and just sort of, I don't know, emotional. [Stacy looks awkward]"
Captain Stacy,Okay. Good. Good.
Gwen Stacy,"Like I keep crying. It's brutal. You don't wanna know, trust me. It's like, bad!"
Captain Stacy,I got it.
Gwen Stacy,"Thanks, daddy."
Captain Stacy,"Alright. [as Gwen tries to clean his chest wound, Peter tries to kiss her but she stops him]"
Gwen Stacy,I know what this is.
Peter Parker,What is it?
Gwen Stacy,"Everyday, for as long as I can remember, my father has left every morning and put a badge on his chest, and strapped a gun to his hip. And everyday, for as long as I can remember, I haven't known if he was gonna make it home."
Peter Parker,"Okay. I gotta stop him though. I have to, because I created him."
Gwen Stacy,What do you mean?
Peter Parker,"I gave him an equation that made all of this possible. Something my father had been working on, secretly. Now I realize why he kept it a secret. Gwen, this is my responsibility. I have to fix it. [back in his sewer lab, Connors has morphed back into his human form and is thinking to himself]"
Dr. Curt Connors,"Peter Parker. Spider-Man! I'm not the one who needs help! There will be no more loneliness, no more outcasts. Species wide distribution could enhance humanity on an evolutionary scale. One has to adapt to survive. [he speaks out loud] Without changing likeness I might be free to cast off flesh wherein I dwell confide. [thinks to himself again] Would you give it all up, after all you know you can do? [he then takes the serum and injects himself with a high dosage] I can save them! [Connors starts transforming] You're not gonna get in the way of my plan, Peter Parker! [the lizard climbs into Peter's school bathroom threw the sewers, the kids all run with terror and Peter tells Gwen to run too, and then they start fighting]"
The Lizard,"No where to hide, Peter. [the lizard throws Peter through a wall and he concocts a makeshift bomb with the chemicals in the chemistry lab and throws it through the wall where Peter] [Peter throws one of his shoes at him, then Peter jumps out of the wall dressed in his Spider-Man costume and jumps on top of the lizard]"
Peter Parker,"You're not thinkin' straight, doc! Stop this! This isn't you! [as they continue to fight] Let's talk this out! [as the lizard and Peter continue to fight] Alright, so you don't wanna talk? [Peter throws a shot of web onto the lizard's mouth to shut him up] There you go. [the lizard easily gets rid of the web on his mouth, and as Peter grabs hold of his tail, the lizard tries to get Peter off his tail but hitting him hard against the wall several times] Don't...make me...have to...hurt you! [Peter then yanks his tail off and gets thrown to the ground] Ugh! Disgusting! [the lizard's tail quickly regrows back as he walks towards Peter and as he's about to tear his head off suddenly Gwen hits him with a trophy]"
The Lizard,"Gwen! [as the lizard turns to Gwen, Peter uses this opportunity to wrap the lizard in web and traps him, he then takes the trophy from Gwen and breaks the window with it, he turns to Gwen]"
Peter Parker,I'm gonna throw you out the window now.
Gwen Stacy,What? [he throws her out the window and she swings out the window holding on to one of his webs] [referring to the police sirens that can be heard outside the school grounds]
Peter Parker,"Uh-oh! Someone's been a bad lizard! [as they fight they crash through the library wall, we see a man (Stan Lee) in the library listening to music on headphones and totally unaware of the events going on behind him as Peter and the lizard keep on fighting] [after the school attack, Gwen call Peter as he's tracking the lizard in the sewer] Hey."
Peter Parker,Hey.
Gwen Stacy,Where are you?
Peter Parker,"I'm fine. I'm okay. I'm down the sewer, I'm tracking him. I gotta stop him before anyone gets hurt, but we need antidote. Do you know how to run a serum?"
Gwen Stacy,"Yeah, I do it at OsCorp all the time."
Peter Parker,"Okay. Great. Great. Great. Okay. Listen, I need you to OsCorp, I need you to access the cross-species file. It's a blue serum, vile, 1-2-3-8-9."
Gwen Stacy,"Okay, got it. On my way. [Peter finds Connors lab in the sewer and turns on his computer which has Connors recordings of himself]"
Dr. Curt Connors,"I spent my life as a scientist trying to create a world without weakness, without outcasts. I sought to create a stronger human being, but there's no such thing. Human beings are weak, pathetic, feeble minded creatures. Why be human at all when we can be so much more? Faster, stronger, smarter! This is my gift to you. [as Peter listens to Connors on the computer he looks around and finds Connors plans to use the use the old cloud machine at OsCorp to disperse a cloud of serum across the city, turning everybody into lizards] [as Stacy gets onto a helicopter to find the lizard]"
Officer,The lizard's headed toward Canal Street Station.
Captain Stacy,What about Spider-Man?
Officer,He's inside the high school.
Captain Stacy,"I want that Spider-Man off the street. [in the helicopter, Stacy listens to radio as the officer updates him]"
Officer's Voice,"The lizard creature has released a biological agent. All efforts at stopping him have failed and he is now proceeding north on 7th Avenue. [after finding out Connors plans, Peter calls Gwen]"
Peter Parker,"Hey, where are you?"
Gwen Stacy,I'm in OsCorp.
Peter Parker,"You have to get out of there right now, okay?"
Gwen Stacy,The antidote is cooking.
Peter Parker,"No, no, no! Connors is on the way. He's coming to you right now. He means to disperse them with the device, he's gonna infect the whole city!"
Gwen Stacy,There's eight minutes left.
Peter Parker,"You're gonna wait there for eight minutes after what I just told you? People are gonna die! You leave right now! Listen, that is an order! Okay?"
Gwen Stacy,I'm gonna get everybody out.
Peter Parker,"Did you hear what...? Gwen! Gwen? You mother hubbard! Are you serious?! [as Peter is rushing to OsCorp the police capture him with a stun-gun bullet and Peter falls to the ground, as they handcuff him and Stacy pulls off his mask, Peter breaks free and fights off the police officers, but Stacy pulls his gun and shouts out]"
Captain Stacy,"Freeze! Down on the ground! Put your hands behind your head! Now! [the police light shines on Peter as he's forced to turn around, revealing his face] Parker!"
Peter Parker,"It's headed to OsCorp, and you're daughter's there right now. [he slowly walks towards Stacy] You gotta let me go. [Peter kneels to pick up his mask, puts it on and runs off, the police start shooting at him]"
Captain Stacy,"Hold your fire! [as Peter is swinging away, he gets shot in the leg and slows him down as he's trying to get to OsCorp, the man whose son Peter saved on the bridge sees him struggling on the TV and organizes his construction workers to turn their cranes to form a framework on which Peter can swing to OsCorp] [Stacy arrives just as as Gwen runs out of OsCorp building with the antidote]"
Gwen Stacy,Dad! I have got to get this to Spider-Man.
Captain Stacy,"Get in the car, let's go."
Gwen Stacy,"No! No, no, no! I can stop the lizard!"
Captain Stacy,Get in the car.
Gwen Stacy,You don't understand!
Captain Stacy,"I do. You're boyfriend is a man of many masks, I get it. [he takes the antidote in Gwen's hand] Give me this. Get in the car."
Gwen Stacy,"Please make sure he's okay. [as the lizard has set up the cloud machine on top of OsCorp building to detonate the serum in two minutes, Peter shows up and they start fighting, the lizard then gets hold of Peter, smashes Peter's mechanical web slingers, rips his mask off and starts to strangle him]"
The Lizard,"Poor, Peter Parker. No mother. No father. No uncle. All alone. [suddenly they hear the sound of a shotgun cocking]"
Captain Stacy,"He's not alone! [Stacy is behind them, he shoots at a tank of liquid nitrogen, Peter then freezes the lizard to slow its regeneration while Stacy shoots it with his shotgun making the lizard fall into the tank] Hey, gift from Gwen! [Stacy gives Peter the antidote] I got this, Peter! Go! [as Peter sets off to get to the cloud machine, the lizard breaks out of the liquid nitrogen ice coating and impales Stacy with its claws] [as the lizard chases to stop Peter, Peter manages to swap the serum with the antidote, it explodes into a giant cloud over the city and hits the lizard, turning him back to his human form, as the pinnacle Peter is on breaks off from the liquid nitrogen spillage, Peter falls but he's saved by Connors grabbing him and pulling him to safety]"
Dr. Curt Connors,"The Captain! [Peter runs over to Stacy, who is gravely wounded]"
Peter Parker,Captain!
Captain Stacy,The lizard?
Peter Parker,"It's okay. We stopped him. Let's get you out of here. [Stacy winces in pain as Peter tries to move him] Look at me. You're gonna stay with me. Help's on the way, okay?"
Captain Stacy,You need to...you need to be gone when they...when they get here. Okay?
Peter Parker,I'm not going anywhere.
Captain Stacy,"I was wrong about you, Peter. The city needs you. Here. [he holds out Peter's mask] You're gonna need this. [Peter takes his mask] You're gonna make enemies, people will get hurt. Sometimes people closest to you. So I want you to promise me something, okay? [Peter nods his head] Leave Gwen out of it. Promise me that. [Peter looks down] Huh? You promise me. [Peter reluctantly nods his head]"
Peter Parker,"Yes. [Stacy closes his eyes as he dies, Peter cries and looks out at the city] [a newscaster on TV reports the aftermath of the events]"
TV Newscaster,"An eerie calm has set in over New York city. Apparently some sort of aerosolized antidote was launched from OsCorp Tower, which seems to have counteracted the biotoxins. Residents of lower Manhattan can rest peacefully, knowing that the alleged mastermind of this terror plot, Dr. Curtis Connors is behind bars. [Peter returns home to Aunt May, she's shocked to see him looking beaten and bruised, Peter pulls a carton of eggs out of his backpack and hands them to her, she hugs him]"
Aunt May,Sweetheart. It's okay. It's alright. It's alright.
Peter Parker,Rough night.
Aunt May,"It's gonna be alright. [at Stacy's funeral, Peter hides on the roof of a building nearby and watches from a distance, Gwen senses him and looks up but sees nothing, later she then turns up at his house]"
Gwen Stacy,Where have you been?
Peter Parker,"I... [he looks away not answering, Gwen starts crying]"
Gwen Stacy,"My father died. There was a funeral. They shot off rifles and they made speeches. Two of my teachers showed up, and Flash showed up. Everyone was there but you. [Peter wipes away a tear from her face, but then stops and looks away]"
Peter Parker,I can't do this. I can't do this. I'm sorry.
Gwen Stacy,What are you saying?
Peter Parker,"I can't see you anymore. I can't! [Gwen looking upset, turns starts walking away, she then stops and turns to face him]"
Gwen Stacy,"He made you promise, didn't he? To stay away from me? So I'd be safe. [Peter doesn't answer and Gwen walks off] [after Gwen leaves, Peter returns inside]"
Aunt May,What a pretty girl.
Peter Parker,Yeah. That's what Uncle Ben said.
Aunt May,Did you ask her out? [Peter shakes his head] Why?
Peter Parker,I can't.
Aunt May,Why?
Peter Parker,I'm just no good for her.
Aunt May,"Peter Parker, if there's one thing you are, it's good. Anyone has a problem with that can talk to me. [Peter listens to the voice message that his uncle left him before he died]"
Uncle Ben,"Peter, I know things have been difficult lately. And I'm sorry about that. I think I know what you're feeling. Ever since you were a little boy, you've been living with so many unresolved things. Well, take it from old man, those things send us down a road, they make us who we are. And if anyone's destined for greatness, it's you, son. You owe the world your gifts. You just have to figure out how to use them, and know that wherever they take you, we'll always be here. So, come on home, Peter. You're my hero, and I love you. [last lines; back at school, Peter and Flash have become friends, but Gwen is shunning him, Peter then shows up late to his English class]"
Miss Ritter,"Mr. Parker, tardy again. [Peter walks past Gwen and sits behind her] Well, at least we can always count on you."
Peter Parker,"Sorry, Miss Ritter. It won't happen again, I promise."
Miss Ritter,"Don't make promises you can't keep, Mr. Parker. [Peter whispers so that Gwen can hear]"
Peter Parker,"Yeah, but those are the best kind. [on hearing this Gwen smiles to herself, then we see final shot of Peter launching himself off a crane as he protects the city] [lines during mid-credits; we see Connors being escorted into his jail cell, a man in the shadows is waiting for him]"
Man in the Shadows,"Hello, doctor. Did you tell the boy?"
Dr. Curt Connors,Tell him what?
Man in the Shadows,Did you tell the boy the truth about his father?
Dr. Curt Connors,No.
Man in the Shadows,"Well, that's very good. So we'll let him be for now."
Dr. Curt Connors,You should leave him alone!
